,id,object_name,chain,object_type,address,number,coordinates,street
0,151635,сметана,нет,кафе,"город Москва, улица Егора Абакумова, дом 9",48,"37.714474,55.879005",улица Егора Абакумова
1,77874,родник,нет,кафе,"город Москва, улица Талалихина, дом 2/1, корпус 1",35,"37.673295,55.738307",улица Талалихина
2,24309,кафе «академия»,нет,кафе,"город Москва, Абельмановская улица, дом 6",95,"37.669576,55.735571",Абельмановская улица
3,21894,пиццетория,да,кафе,"город Москва, Абрамцевская улица, дом 1",40,"37.573007,55.892713",Абрамцевская улица
4,119365,кафе «вишневая метель»,нет,кафе,"город Москва, Абрамцевская улица, дом 9, корпус 1",50,"37.572279,55.904074",Абрамцевская улица
5,27429,стол. при гоу сош № 1051,нет,столовая,"город Москва, Абрамцевская улица, дом 15, корпус 1",240,"37.571525,55.906744",Абрамцевская улица
6,148815,брусника,да,кафе,"город Москва, переулок Сивцев Вражек, дом 6/2",10,"37.598043,55.747388",переулок Сивцев Вражек
7,20957,буфет мтуси,нет,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",90,"37.715471,55.754882",Авиамоторная улица
8,20958,кпф семья-1,нет,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",150,"37.715471,55.754882",Авиамоторная улица
9,28858,столовая мтуси,нет,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",120,"37.715471,55.754882",Авиамоторная улица
10,148595,пекарня 24,нет,закусочная,"город Москва, Авиамоторная улица, дом 47",5,"37.718489,55.750211",Авиамоторная улица
11,23394,гогиели,нет,кафе,"город Москва, Авиамоторная улица, дом 49/1",24,"37.719702,55.748468",Авиамоторная улица
12,28582,школа 735,нет,столовая,"город Москва, Авиамоторная улица, дом 51",140,"37.720986,55.746304",Авиамоторная улица
13,22579,алло пицца,да,кафе,"город Москва, улица Авиаторов, дом 14",32,"37.398051,55.645334",улица Авиаторов
14,23670,гимназия 1542,нет,столовая,"город Москва, улица Авиаторов, дом 16",270,"37.399399,55.645304",улица Авиаторов
15,23663,школа 1011,нет,столовая,"город Москва, улица Авиаторов, дом 18",320,"37.400099,55.644689",улица Авиаторов
16,144107,суши wok,да,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 3",7,"37.605715,55.662334",Азовская улица
17,154654,донер кебаб,нет,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 4",2,"37.602049,55.660374",Азовская улица
18,58565,тануки,да,ресторан,"город Москва, Большая Академическая улица, дом 65",160,"37.54736,55.840427",Большая Академическая улица
19,153644,американская лаборатория десертов,нет,кафе,"город Москва, Филипповский переулок, дом 15/5",20,"37.598573,55.75058",Филипповский переулок
20,21950,кафе,нет,кафе,"город Москва, Алтайская улица, дом 33/7",30,"37.832952,55.820824",Алтайская улица
21,84832,кафе уют,нет,кафе,"город Москва, Алтуфьевское шоссе, дом 14",110,"37.58588,55.85578",Алтуфьевское шоссе
22,26931,долина чайхона,нет,кафе,"город Москва, Алтуфьевское шоссе, дом 14",150,"37.58588,55.85578",Алтуфьевское шоссе
23,28751,гбоу школа № 1411 (970),нет,столовая,"город Москва, Алтуфьевское шоссе, дом 42Б",120,"37.589042,55.872764",Алтуфьевское шоссе
24,125608,кафетерий,нет,кафетерий,"город Москва, Алтуфьевское шоссе, дом 56",6,"37.587865,55.880778",Алтуфьевское шоссе
25,81554,домино'с пицца,да,кафе,"город Москва, Алтуфьевское шоссе, дом 56",24,"37.587865,55.880778",Алтуфьевское шоссе
26,21304,рахимкулова т.х.,нет,буфет,"город Москва, Алтуфьевское шоссе, дом 102Б",20,"37.591297,55.903973",Алтуфьевское шоссе
27,29223,столовая при гуп объединенный комбинат школьного питания,нет,столовая,"город Москва, улица Амундсена, дом 10",192,"37.657206,55.853001",улица Амундсена
28,27439,школа 1444,нет,столовая,"город Москва, Анадырский проезд, дом 55",240,"37.705086,55.878187",Анадырский проезд
29,22767,мархал,нет,кафе,"город Москва, Ангарская улица, дом 1, корпус 2",120,"37.509873,55.871885",Ангарская улица
