,Unnamed: 0,id,object_name,chain,object_type,address,number,coordinates,street,address_list,region
151,151,155973,кафе «андерсон»,да,кафе,"город Москва, Варшавское шоссе, дом 2",150,"37.619683,55.699943",Варшавское шоссе,,Донской район
152,152,23618,кафе «subway»,да,кафе,"город Москва, Варшавское шоссе, дом 7, корпус 1",36,"37.622405,55.700877",Варшавское шоссе,,Донской район
153,153,155852,кафе «ламаджо»,нет,кафе,"город Москва, Варшавское шоссе, дом 29",30,"37.622432,55.693226",Варшавское шоссе,,Донской район
154,154,152556,шаурма в пите,нет,предприятие быстрого обслуживания,"город Москва, Варшавское шоссе, дом 72, корпус 2",0,"37.618758,55.656869",Варшавское шоссе,,Нагорный район
155,155,120658,выпечка,нет,кафетерий,"город Москва, Варшавское шоссе, дом 100",2,"37.618812,55.646228",Варшавское шоссе,,Нагорный район
156,156,26279,ресторан «макдоналдс»,да,кафе,"город Москва, Варшавское шоссе, дом 143А",70,"37.599148,55.583953",Варшавское шоссе,,район Чертаново Южное
165,165,141687,пироговая рогова,нет,кафе,"город Москва, проспект Вернадского, дом 9/10",42,"37.532511,55.690755",проспект Вернадского,,Гагаринский район
166,166,148853,кафе контдитерская кузина,нет,кафе,"город Москва, проспект Вернадского, дом 11/19",5,"37.528882,55.688741",проспект Вернадского,,Ломоносовский район
167,167,149149,суши wok,да,кафе,"город Москва, проспект Вернадского, дом 11/19",8,"37.528882,55.688741",проспект Вернадского,,Ломоносовский район
168,168,128511,аморе,нет,кафе,"город Москва, проспект Вернадского, дом 11/19",10,"37.528882,55.688741",проспект Вернадского,,Ломоносовский район
169,169,24875,шоколад,да,кафе,"город Москва, проспект Вернадского, дом 11/19",50,"37.528882,55.688741",проспект Вернадского,,Ломоносовский район
170,170,143755,тирольские пироги,да,магазин (отдел кулинарии),"город Москва, проспект Вернадского, дом 13",10,"37.527669,55.687655",проспект Вернадского,,Ломоносовский район
172,172,23763,столовая «оп мгу кп мгу столовая 12»,нет,столовая,"город Москва, проспект Вернадского, дом 37",240,"37.511751,55.678397",проспект Вернадского,,район Проспект Вернадского
173,173,19716,буфет,нет,буфет,"город Москва, проспект Вернадского, дом 86, строение 1",40,"37.474534,55.66049",проспект Вернадского,,район Тропарёво-Никулино
174,174,69990,панорама 93,нет,ресторан,"город Москва, проспект Вернадского, дом 93",60,"37.495132,55.667127",проспект Вернадского,,район Тропарёво-Никулино
175,175,20147,кафе «пекарня «мюнгер»»,нет,кафе,"город Москва, проспект Вернадского, дом 97, корпус 1",30,"37.491377,55.667152",проспект Вернадского,,район Тропарёво-Никулино
176,176,19989,гудбар,нет,кафе,"город Москва, проспект Вернадского, дом 97, корпус 1",40,"37.491377,55.667152",проспект Вернадского,,район Тропарёво-Никулино
177,177,19761,бар «фитнес-бар»,нет,бар,"город Москва, проспект Вернадского, дом 103, корпус 1",24,"37.492662,55.663365",проспект Вернадского,,район Тропарёво-Никулино
178,178,19700,кафе «театр на юго-западе»,нет,кафе,"город Москва, проспект Вернадского, дом 125",20,"37.482026,55.655478",проспект Вернадского,,район Тропарёво-Никулино
