,street,id,coordinates,address,region
1329,Малый Ивановский переулок,1,"37.640641,55.75364","город Москва, Малый Ивановский переулок, дом 4, строение 1",no_region
1330,Малый Казённый переулок,1,"37.65267,55.760287","город Москва, Малый Казённый переулок, дом 3",Басманный район
1331,Малый Каретный переулок,1,"37.614806,55.771327","город Москва, Малый Каретный переулок, дом 11, строение 2",Тверской район
1332,улица Лапина,1,"37.712704,55.756391","город Москва, улица Лапина, дом 3",район Лефортово
1333,улица Маршала Мерецкова,1,"37.490299,55.793748","город Москва, улица Маршала Мерецкова, дом 4",район Щукино
1334,Малый Коптевский проезд,1,"37.531451,55.809732","город Москва, Малый Коптевский проезд, дом 3",район Аэропорт
1335,Малый Конюшковский переулок,1,"37.580193,55.75824","город Москва, Малый Конюшковский переулок, дом 2",Пресненский район
1336,Машкинское шоссе,1,"37.386867,55.910483","город Москва, Машкинское шоссе, дом 7",район Куркино
1337,улица Маршала Новикова,1,"37.463143,55.803074","город Москва, улица Маршала Новикова, дом 13",район Щукино
1338,улица Малая Ордынка,1,"37.625208,55.735459","город Москва, улица Малая Ордынка, дом 24",район Замоскворечье
1339,Малый Лёвшинский переулок,1,"37.589536,55.742514","город Москва, Малый Лёвшинский переулок, дом 14/9, строение 1",район Хамовники
1340,улица Льва Яшина,1,"37.923044,55.698224","город Москва, улица Льва Яшина, дом 5, корпус 1",район Некрасовка
1341,Малый Путинковский переулок,1,"37.608185,55.766283","город Москва, Малый Путинковский переулок, дом 1/2, строение 1",Тверской район
1342,1-я Боевская улица,1,"37.692815,55.791805","город Москва, 1-я Боевская улица, дом 6",район Сокольники
1343,Малый Татарский переулок,1,"37.632251,55.737968","город Москва, Малый Татарский переулок, дом 8, строение 1",район Замоскворечье
1344,улица Максимова,1,"37.464985,55.796688","город Москва, улица Максимова, дом 18",район Щукино
1345,Малый Толмачёвский переулок,1,"37.619207,55.74114","город Москва, Малый Толмачёвский переулок, дом 8/11, строение 3",район Якиманка
1346,улица Малые Каменщики,1,"37.654188,55.735555","город Москва, улица Малые Каменщики, дом 18",Таганский район
1347,1-я Гражданская улица,1,"37.709012,55.807223","город Москва, 1-я Гражданская улица, дом 96",район Богородское
1348,Малый Полуярославский переулок,1,"37.661033,55.752237","город Москва, Малый Полуярославский переулок, дом 3/5, строение 1",Таганский район
1349,Мамоновский переулок,1,"37.599876,55.766228","город Москва, Мамоновский переулок, дом 10, строение 1",Тверской район
1350,улица Лефортовский Вал,1,"37.696346,55.755778","город Москва, улица Лефортовский Вал, дом 26",район Лефортово
1351,Мансуровский переулок,1,"37.593794,55.740309","город Москва, Мансуровский переулок, дом 10, строение 2",район Хамовники
1352,1-я Карачаровская улица,1,"37.754035,55.73591","город Москва, 1-я Карачаровская улица, дом 8, строение 1",Нижегородский район
1353,Мариупольская улица,1,"37.741351,55.674966","город Москва, Мариупольская улица, дом 3",район Люблино
1354,1-я Аэропортовская улица,1,"37.534523,55.800878","город Москва, 1-я Аэропортовская улица, дом 1, строение 3",район Аэропорт
1355,Малый Саввинский переулок,1,"37.562137,55.731054","город Москва, Малый Саввинский переулок, дом 8",район Хамовники
1356,Малый Николопесковский переулок,1,"37.59118,55.751001","город Москва, Малый Николопесковский переулок, дом 9/1, строение 2",район Арбат
1357,улица Линии Октябрьской Железной Дороги,1,"37.572082,55.838819","город Москва, улица Линии Октябрьской Железной Дороги, дом 2, строение 2",Тимирязевский район
1358,1-й проезд Марьиной Рощи,1,"37.621696,55.793748","город Москва, 1-й проезд Марьиной Рощи, дом 3А",район Марьина Роща
1359,Международная улица,1,"37.684811,55.745635","город Москва, Международная улица, дом 15",Таганский район
1360,Бабаевская улица,1,"37.689069,55.790595","город Москва, Бабаевская улица, дом 3",район Сокольники
1361,Мерзляковский переулок,1,"37.59648,55.756721","город Москва, Мерзляковский переулок, дом 15",Пресненский район
1362,улица Кухмистерова,1,"37.730041,55.683067","город Москва, улица Кухмистерова, дом 20, корпус 2",район Печатники
1363,Напрудный переулок,1,"37.631182,55.78851","город Москва, Напрудный переулок, дом 13",Мещанский район
1364,14-я Парковая улица,1,"37.816612,55.789932","город Москва, 14-я Парковая улица, дом 4Б",район Восточное Измайлово
1365,улица Капотня,1,"37.808428,55.639847","город Москва, улица Капотня, дом 34",район Капотня
1366,улица Каманина,1,"30.348621,53.937992","улица Каманина, домовладение 11, строение 2",no_region
1367,17-й проезд Марьиной Рощи,1,"37.61123,55.808553","город Москва, 17-й проезд Марьиной Рощи, дом 4",район Марьина Роща
1368,Нарвская улица,1,"37.508759,55.833607","город Москва, Нарвская улица, дом 2",район Коптево
1369,2-й Балтийский переулок,1,"37.523339,55.808361","город Москва, 2-й Балтийский переулок, дом 3",район Аэропорт
1370,улица Инессы Арманд,1,"37.546884,55.589274","город Москва, улица Инессы Арманд, дом 13",район Ясенево
1371,2-й Боткинский проезд,1,"37.548456,55.78074","город Москва, 2-й Боткинский проезд, дом 5, корпус 28",район Беговой
1372,Наро-Фоминская улица,1,"37.390604,55.657733","город Москва, Наро-Фоминская улица, дом 1",район Солнцево
1373,2-й Верхний Михайловский проезд,1,"37.605113,55.709551","город Москва, 2-й Верхний Михайловский проезд, дом 2",Донской район
1374,Народный проспект,1,"37.754269,55.774603","город Москва, Народный проспект, дом 17, строение 24",no_region
1375,2-й Вышеславцев переулок,1,"37.605984,55.790499","город Москва, 2-й Вышеславцев переулок, дом 17",район Марьина Роща
1376,улица Знаменские Садки,1,"37.574327,55.571968","город Москва, улица Знаменские Садки, дом 1А",район Северное Бутово
1377,Научный проезд,1,"37.553963,55.653304","город Москва, Научный проезд, дом 19",район Черёмушки
1378,улица Зенитчиков,1,"37.348123,55.834628","город Москва, улица Зенитчиков, дом 7",район Митино
1379,Глебовская улица,1,"37.715525,55.813202","город Москва, Глебовская улица, дом 10",район Богородское
1380,Глазовский переулок,1,"37.587084,55.743933","город Москва, Глазовский переулок, дом 5",район Хамовники
